case_count,caseType (These have been narrowed down from the greater case type list. Only these are in Redivis),"Type (E = Evictions, D = Debt, PE = Possible Evictions (ie evictions + other things), PD = Possible Debt (ie debt + other things))",Notes,,,
37760,Contract,PD,,,,"'Contract',"
84,DNRC,X,DNR Violation,,,
6949,DOMESTIC,X,,,,
6334,Domestic Family,X,,,,
19192,Domestic Violence,X,,,,
2965,DOMESTIC VIOLENCE,X,,,,
556,Domestic Violence - Child Abuse,X,,,,
4,Domestic Violence - Foreign,X,,,,
84,Domestic Violence - Vulnerable Adult,X,,,,
70,DV,X,Domestic Violence,,,
4,EEO / HRC,X,Employment Rights,,,
70195,CONTRACT,PD,,,,"'CONTRACT',"
3,Election Law,X,,,,
2,Emancipation,X,,,,
3,EMEV,X,Emergency Evaluations,,,
301,Employment/Labor,X,,,,
2,ENFO,X,Enforcement of Foreign Support Order,,,
4,Environmental,X,,,,
4,Error Coram Nobis,X,,,,
824,Contract - Breach,PD,,,,"'Contract - Breach',"
11080,Contract - Large Claims,PD,,,,"'Contract - Large Claims',"
15,Fair Labor Standards Act (FLSA),X,,,,
172,FAMILY,X,,,,
3,Family and Medical Leave Act (FMLA),X,,,,
4,Family Legal / Medical,X,,,,
34,FC,X,Foreclosure,,,
1,FJ,X,Foreign Judgement,,,
1,FODV,X,Foreign Domestic Violence,,,
3,FOL,X,Foreign Judgement,,,
45802,Contract - Small Claims,PD,,,,"'Contract - Small Claims',"
59,Converted from old system,PD,,,,"'Converted from old system',"
4797,Foreclosure,X,,,,
1354,FORECLOSURE,X,,,,
122,Foreclosure - Commercial,X,,,,
5540,Foreclosure - Residential,X,,,,
2476,Foreclosure Rights Of Redemption,X,,,,
281,FOREIGN,X,,,,
70,Foreign Judgment,X,,,,
186,FORF,X,Civil Forfriture,,,
269,Forfeiture,X,,,,
8,FORFEITURE,X,,,,
1043,FORFEITURE OF BOND,X,,,,
52,Friendly Suit,X,,,,
52,FROO,X,Foreclosure - Owner Occupied Residential,,,
10,Writ of Garnishment/Execution,PD,,,,"'Writ of Garnishment/Execution',"
1058,Other Civil,"PD, PE",,,,"'Other Civil',"
1957,Fugitive,X,,,,
908,FUGITIVE WARRANT,X,,,,
41,FW,X,,,,
40,FX,X,Federal Lien,,,
277,General Equity,X,,,,
65,Other Civil Ex Parte,"PD, PE",,,,"'Other Civil Ex Parte',"
7,GS,X,Guardianship,,,
1,GSA,X,Adult Guardianship,,,
1,GSAPP,X,Guardianship - Adult Persons and Property,,,
2,GSM,X,Minor Guardianship,,,
1,GSMPP,X,Guardianship - Adult Persons and Property,,,
26,Guardian Of The Person-Adult Disabled,X,,,,
339,Guardianship,X,,,,
23,Guardianship - Adult Person,X,,,,
2,Guardianship - Adult Person and Property,X,,,,
114,Guardianship - Minor Person,X,,,,
5,Guardianship - Minor Person and Property,X,,,,
4,Guardianship - Minor Property,X,,,,
14,Guardianship Of The Property-Adult Disabled,X,,,,
76,Guardianship Of The Property-Minor,X,,,,
238,Guardianship-Person & Property-Adult Disabled,X,,,,
23,Guardianship-Specific Transaction,X,,,,
40,HA,X,Housing Authority Citation,,,
740,Habeas Corpus,X,,,,
3,HC,X,Habeas Corpus,,,
5,Health General,X,,,,
34,IF,X,Criminal Information,,,
4,IJ,X,Injunction,,,
48,IN,X,Criminal Indictment,,,
207,Independent Proceedings,X,,,,
3,Independent Proceedings - Birth Certificate Amendment,X,,,,
63,Independent Proceedings - Deposition Notice,X,,,,
2,Independent Proceedings - Dispose Body,X,,,,
1,Independent Proceedings - Financial,X,,,,
1,Independent Proceedings - Grand Jury/Petit Jury,X,,,,
1,Independent Proceedings - Marriage Certificate Amendment,X,,,,
16,Independent Proceedings - Miscellaneous,X,,,,
6,Independent Proceedings - Perpetuate Testimony / Evidence,X,,,,
2,Independent Proceedings - Production of Documents Request,X,,,,
16,Independent Proceedings - Subpoena Issue / Quash,X,,,,
3,Independent Proceedings - Trustee Substitution,X,,,,
3,"Independent Proceedings - Witness App, Request to Compel",X,,,,
728,INJC,X,Injuction,,,
259,Injunction,X,,,,
154,INJUNCTION,X,,,,
5,Interpleader,X,,,,
1,IPWA,X,Independent Proceedings - Witness App,,,
37,JC,X,Criminal Jury Trial,,,
42,JM,X,Motor Vehicle Jury Trial,,,
1310,Judgment - Bond Forfeiture,X,,,,
1203,Judgment - County / City Lien,X,,,,
10293,Judgment - District Court Lien,X,,,,
6,Judgment - DLLR,X,Department of Labor Judgement,,,
5081,Judgment - Federal Lien,X,,,,
69,Judgment - Federal Tax Lien,X,,,,
382,Judgment - Foreign,X,,,,
221,Judgment - Maryland Department of Labor,X,,,,
19,Judgment - Medical Assistance Lien,X,,,,
59,Judgment - Miscellaneous Lien,X,,,,
18,OV,"PD, PE",Other Civil,,,"'OV',"
878,Judgment - Other Court,X,,,,
347,Appeal,"PE, PD",,,,"'Appeal',"
61814,Judgment - State Tax Lien,X,,,,
62,Jury Trial Prayer - District Court,X,,,,
12,Land Acquisition,X,,,,
206,Appeal - De Novo,"PE, PD",,,,"'Appeal - De Novo',"
59,LC,X,Lien,,,
246,Lead Paint,X,,,,
991,Lien,X,,,,
18234,LIEN,X,,,,
37019,Lien/Judgment,X,,,,
44,Lis Pendens,X,,,,
2,MAND,X,Mandamus,,,
150,Mandamus,X,,,,
175,Mechanics Liens,X,,,,
139,Medical Malpractice,X,,,,
1,MEDMAL,X,,,,
7187,MI,X,Municipal Infraction,,,
6,Minor's Trust Account,X,,,,
57,Miscellaneous (Matter of),X,,,,
196,Miscellaneous (Versus),X,,,,
122,Appeal - District Court Motion,"PE, PD",,,,"'Appeal - District Court Motion',"
2,ML,X,Mechanics Liens,,,
1165,Motor Tort,X,,,,
443,MOTOR TORTS,X,,,,
1,MP,X,Miscellaneous (Matter of),,,
3,MS2,X,Miscellaneous (Versus),,,
480,MSTL,X,Judgement - State Tax Lien,,,
4577,MT,X,Mass Transit Citation,,,
5,MTC,X,Mass Transit Citation,,,
7,MUNI,X,Municipal Infraction,,,
624,Municipal Infraction,X,,,,
1699,MUNICIPAL INFRACTION,X,,,,
1,NC,X,Name Change,,,
1,NCM,X,Name Change - Minor,,,
3,NG,X,Negligence,,,
288,NR,X,Dept of Natural Resources Citation,,,
1,OD,X,Other Domestic,,,
14,OJ,X,Other Court Judgement,,,
5,OT,X,Other Tort,,,
1818,Other Appeal,X,,,,
68,Appeal - On Record,"PE, PD",,,,"'Appeal - On Record',"
117,APPEALS,"PE, PD",,,,"'APPEALS',"
377,Other Domestic,X,,,,
1,Other Equitable Relief,X,,,,
614,OTHER LAW,X,,,,
531,Other Tort,X,,,,
507,OTHER TORTS,X,,,,
108,DCA - DE NOVO,"PE, PD",DeNovo Appeal,,,"'DCA - DE NOVO',"
3,PA,X,Paternity,,,
575,Paternity,X,,,,
599,Paternity / Parentage - Agency,X,,,,
86,Paternity / Parentage - Private,X,,,,
14314,Peace Order,X,,,,
2096,PEACE ORDER,X,,,,
38,Peace Order (Civil),X,,,,
441,PETITION FOR APPOINTMENT OF A RECEIVER,X,,,,
9,Petition for Compliance,X,,,,
1,PETN,X,Special Proceeding Petition,,,
52,PO,X,Peace Order,,,
5,Post Conviction,X,,,,
3,Prisoner Rights,X,,,,
3698,Property,X,,,,
15,Property - Ownership,X,,,,
107,Property - Partition / Sale,X,,,,
126,Property - Quiet Title,X,,,,
2,Property - Return of Seized,X,,,,
